title T3s C3s A3s G3s CAI CBI Fop Nc GC3s GC L_sym L_aa Gravy Aromo 
NM_004109.5 0.3043 0.3106 0.2657 0.3111 0.076 -0.036 0.346 47.84 0.514 0.547 179 184 -0.207065 0.032609 
NM_002669.4 0.4399 0.1659 0.4021 0.2301 0.111 0.003 0.400 48.70 0.311 0.435 492 514 -0.490467 0.073930 
NM_024407.5 0.1000 0.5778 0.0909 0.4013 0.054 -0.062 0.320 35.03 0.835 0.662 200 213 -0.113146 0.084507 
NM_020673.3 0.3462 0.2500 0.4276 0.2500 0.090 -0.059 0.374 56.52 0.380 0.440 187 194 -0.272165 0.087629 
NM_031420.4 0.2438 0.3184 0.2273 0.4393 0.055 -0.075 0.327 53.68 0.615 0.557 257 267 -0.464420 0.063670 
NM_006345.4 0.3681 0.2062 0.4787 0.1790 0.096 0.012 0.392 52.21 0.307 0.418 548 568 -0.185563 0.079225 
NM_003718.5 0.3226 0.2953 0.3049 0.2941 0.072 -0.030 0.347 55.86 0.479 0.522 1485 1512 -0.827183 0.050265 
NM_006585.4 0.4696 0.1939 0.4109 0.1804 0.114 0.041 0.429 48.90 0.290 0.417 527 548 -0.067701 0.056569 
NM_003592.3 0.3427 0.3076 0.3471 0.3279 0.122 0.084 0.456 55.92 0.472 0.432 752 776 -0.516237 0.090206 
NM_018297.4 0.4150 0.2273 0.3810 0.2565 0.110 0.033 0.417 51.91 0.370 0.434 633 654 -0.487156 0.085627 
NM_033549.5 0.1717 0.4549 0.1469 0.5021 0.051 -0.117 0.307 42.04 0.749 0.631 606 630 -0.748095 0.065079 
NM_005539.5 0.1969 0.4938 0.1756 0.4737 0.106 0.055 0.442 49.64 0.717 0.532 396 412 -0.424029 0.128641 
NM_025233.7 0.2275 0.4185 0.1370 0.4342 0.062 -0.053 0.342 48.64 0.694 0.586 552 564 -0.060284 0.063830 
NM_022163.4 0.2347 0.3005 0.3134 0.4009 0.061 -0.017 0.352 59.04 0.558 0.530 267 279 -0.473477 0.082437 
NM_002917.2 0.1414 0.5276 0.0508 0.4637 0.049 -0.047 0.323 38.74 0.832 0.668 322 331 -0.227795 0.069486 
NM_007236.5 0.2914 0.3974 0.2621 0.3636 0.088 -0.032 0.384 53.43 0.568 0.494 190 195 -0.630257 0.076923 
NM_002794.5 0.3133 0.4036 0.2361 0.3182 0.086 0.017 0.400 56.34 0.559 0.501 195 201 -0.169652 0.104478 
NM_004663.5 0.4343 0.2229 0.3889 0.2177 0.105 0.022 0.424 51.18 0.338 0.421 210 216 -0.420833 0.078704 
NM_019088.4 0.2984 0.4686 0.1704 0.4090 0.100 -0.022 0.397 51.12 0.647 0.547 516 531 -1.163653 0.069680 
NM_005626.5 0.2784 0.3840 0.2230 0.3294 0.069 0.004 0.357 51.24 0.586 0.543 490 494 -1.838462 0.040486 
NM_032194.3 0.3904 0.1754 0.4513 0.3048 0.098 -0.060 0.366 52.22 0.353 0.376 295 306 -0.683660 0.081699 
NM_024079.5 0.3843 0.2787 0.3219 0.2450 0.096 0.006 0.390 55.31 0.416 0.424 502 526 0.586882 0.159696 
NM_002184.4 0.4385 0.2172 0.4307 0.1873 0.133 0.022 0.430 51.36 0.311 0.403 884 918 -0.456536 0.098039 
NM_145012.6 0.2721 0.3958 0.2327 0.3901 0.091 0.021 0.408 56.61 0.598 0.502 333 341 -0.488856 0.085044 
NM_019613.4 0.2792 0.3993 0.3169 0.2991 0.103 0.027 0.423 56.65 0.536 0.482 336 344 -0.145058 0.095930 
NM_016492.5 0.2649 0.4172 0.1438 0.4113 0.054 -0.061 0.335 54.63 0.665 0.590 182 186 -0.228495 0.059140 
NM_016485.5 0.4403 0.2099 0.3707 0.2546 0.114 0.026 0.415 56.86 0.355 0.444 299 307 -0.519870 0.071661 
NM_002028.4 0.2393 0.4131 0.2369 0.3746 0.079 0.009 0.390 52.76 0.618 0.550 421 437 -0.162700 0.102975 
NM_018332.5 0.2578 0.4334 0.2135 0.3988 0.099 0.010 0.414 51.10 0.630 0.514 459 478 -0.375105 0.060669 
NM_002504.6 0.3907 0.2922 0.3223 0.2945 0.108 0.015 0.410 55.31 0.445 0.485 1096 1120 -0.731696 0.044643 
NM_014773.5 0.2454 0.4213 0.2145 0.3054 0.067 0.012 0.355 52.34 0.611 0.587 501 515 -0.455146 0.077670 
NM_004809.5 0.1489 0.4438 0.1149 0.4759 0.047 -0.074 0.308 41.04 0.774 0.631 380 398 0.121608 0.065327 
NM_016353.5 0.3859 0.3054 0.3306 0.2479 0.108 -0.025 0.376 56.46 0.431 0.447 346 367 -0.092098 0.136240 
NM_017867.3 0.5019 0.1877 0.3896 0.2575 0.106 -0.064 0.371 49.65 0.323 0.395 337 346 -0.529769 0.098266 
NM_015934.5 0.4278 0.1853 0.4501 0.2325 0.131 0.036 0.428 50.06 0.314 0.397 512 529 -0.506616 0.051040 
NM_021141.4 0.4109 0.2618 0.3485 0.2980 0.127 0.017 0.426 52.63 0.412 0.426 711 732 -0.335792 0.083333 
NM_006442.4 0.1325 0.4702 0.1420 0.5449 0.070 0.027 0.407 38.74 0.784 0.615 199 205 -0.984390 0.043902 
NM_015045.4 0.4544 0.2031 0.4045 0.2349 0.114 -0.034 0.387 51.70 0.331 0.413 1160 1190 -0.676303 0.054622 
NM_003171.5 0.3975 0.2555 0.3211 0.2823 0.113 0.028 0.407 55.69 0.417 0.458 761 786 -0.259924 0.078880 
NM_194326.4 0.1200 0.4300 0.1197 0.5739 0.061 0.039 0.393 33.63 0.807 0.632 135 136 -1.017647 0.051471 
NM_005749.4 0.4474 0.2932 0.2625 0.2828 0.123 0.061 0.434 47.69 0.440 0.458 334 345 -0.573333 0.092754 
NM_002708.4 0.1698 0.5585 0.1164 0.4764 0.075 -0.000 0.396 39.07 0.776 0.572 321 330 -0.301212 0.106061 
NM_005716.4 0.1301 0.5279 0.0852 0.4882 0.056 -0.051 0.336 37.36 0.821 0.654 324 333 -0.328529 0.063063 
NM_001033.5 0.4393 0.2754 0.2976 0.2844 0.130 0.079 0.457 54.47 0.419 0.431 757 792 -0.360606 0.094697 
NM_002109.6 0.2487 0.3586 0.2274 0.4538 0.067 -0.054 0.360 50.67 0.622 0.533 497 509 -0.252456 0.068762 
NM_001031725.6 0.4153 0.2182 0.3883 0.2511 0.101 -0.009 0.400 51.41 0.357 0.419 605 619 -0.284168 0.042003 
NM_032630.3 0.2821 0.3462 0.2531 0.4129 0.087 0.001 0.394 55.27 0.581 0.486 203 212 -0.541509 0.066038 
NM_001416.4 0.2975 0.4272 0.2026 0.3493 0.124 0.123 0.482 49.61 0.596 0.504 386 406 -0.261330 0.071429 
NM_031905.5 0.3597 0.2626 0.2941 0.3333 0.085 0.023 0.405 58.47 0.464 0.470 336 343 -0.079884 0.052478 
NM_022453.3 0.2794 0.3765 0.2533 0.3507 0.072 0.003 0.382 54.95 0.571 0.572 448 459 -0.824837 0.054466 
NM_014613.3 0.3333 0.3036 0.3006 0.3691 0.079 -0.018 0.382 57.08 0.507 0.490 432 445 -0.750786 0.092135 
NM_203298.3 0.2614 0.3182 0.1935 0.4831 0.046 -0.104 0.295 61.00 0.634 0.551 112 118 -0.700847 0.050847 
NM_016019.5 0.3356 0.2526 0.4244 0.2673 0.105 0.080 0.420 52.05 0.402 0.469 383 392 -1.486480 0.033163 
NM_199337.3 0.2526 0.4330 0.1429 0.3171 0.088 0.112 0.429 55.12 0.648 0.574 210 219 0.583561 0.095890 
NM_016078.6 0.3795 0.2410 0.3265 0.3111 0.136 0.082 0.451 44.16 0.425 0.429 193 205 0.090244 0.126829 
NM_006136.3 0.4486 0.1916 0.4306 0.2698 0.115 -0.058 0.396 55.75 0.331 0.395 278 286 -0.563637 0.097902 
NM_016495.6 0.3822 0.2756 0.2870 0.3366 0.098 -0.021 0.380 58.88 0.470 0.457 279 293 -0.212628 0.102389 
NM_020230.7 0.1493 0.4958 0.0890 0.5285 0.049 -0.077 0.325 41.82 0.810 0.629 458 473 -0.758774 0.048626 
NM_005729.4 0.1420 0.5795 0.1083 0.3800 0.094 0.137 0.468 38.68 0.791 0.604 201 207 -0.191788 0.077295 
NM_014494.4 0.4080 0.2657 0.3300 0.2277 0.094 0.017 0.396 54.95 0.397 0.484 1858 1962 -0.941794 0.055556 
NM_017747.3 0.4235 0.1941 0.3829 0.2175 0.105 0.035 0.406 51.52 0.333 0.462 2483 2542 -0.384343 0.038159 
NM_030821.5 0.3161 0.4129 0.2667 0.2868 0.091 0.002 0.392 56.84 0.543 0.511 186 189 -0.296825 0.068783 
NM_020244.3 0.3596 0.2602 0.3153 0.2932 0.076 -0.039 0.368 58.78 0.436 0.460 383 406 0.565517 0.128079 
NM_005147.6 0.2326 0.4289 0.1751 0.4119 0.073 -0.055 0.360 47.71 0.666 0.562 467 480 -0.447917 0.083333 
NM_004309.6 0.1014 0.5811 0.0759 0.5676 0.070 -0.024 0.396 34.96 0.863 0.605 197 204 -0.687255 0.083333 
NM_001272051.2 0.2190 0.4286 0.1165 0.4343 0.054 -0.066 0.309 53.42 0.715 0.644 123 132 -0.617424 0.083333 
NM_015342.4 0.4438 0.2088 0.4128 0.2279 0.104 -0.045 0.394 53.95 0.327 0.412 617 646 -0.447988 0.094427 
NM_015355.4 0.4247 0.2204 0.4101 0.2386 0.098 -0.032 0.381 53.34 0.349 0.425 714 739 -0.747767 0.070365 
NM_005973.5 0.3053 0.3711 0.1855 0.3672 0.076 0.009 0.371 54.51 0.600 0.582 482 491 -0.735031 0.065173 
NM_021933.4 0.1495 0.4455 0.1460 0.4459 0.053 -0.034 0.333 39.04 0.749 0.645 378 388 -0.689691 0.054124 
NM_198507.3 0.2242 0.3394 0.1806 0.4156 0.058 -0.029 0.319 47.74 0.649 0.616 185 190 -0.297895 0.021053 
NM_173542.4 0.1178 0.5475 0.0760 0.4843 0.059 -0.019 0.360 37.12 0.838 0.627 555 589 -0.106791 0.113752 
NM_002868.4 0.2683 0.3720 0.2814 0.3522 0.084 -0.048 0.365 51.45 0.562 0.515 208 215 -0.377209 0.079070 
NM_003587.5 0.2587 0.3771 0.1860 0.4427 0.061 -0.062 0.343 49.61 0.646 0.570 1010 1041 -0.602690 0.074928 
NM_001003681.3 0.3395 0.2930 0.3333 0.3126 0.111 0.030 0.408 53.87 0.469 0.471 590 601 -0.863727 0.041597 
NM_017846.5 0.2844 0.3991 0.2388 0.3814 0.083 -0.077 0.358 48.84 0.594 0.516 271 287 -0.472126 0.135889 
NM_017664.4 0.2618 0.3788 0.2265 0.3763 0.073 -0.019 0.372 55.16 0.601 0.550 411 420 -0.290238 0.059524 
NM_002439.5 0.3810 0.2358 0.3989 0.2626 0.104 -0.000 0.406 53.57 0.379 0.423 1110 1137 -0.324098 0.071240 
NM_198467.3 0.4000 0.2453 0.3502 0.2943 0.103 -0.035 0.377 57.21 0.411 0.450 822 846 -0.724941 0.062648 
NM_145043.4 0.2500 0.3770 0.2099 0.4186 0.081 0.003 0.377 51.17 0.632 0.567 321 332 -0.556928 0.090361 
NM_013399.3 0.1989 0.4917 0.1806 0.3151 0.072 -0.029 0.357 38.25 0.678 0.625 199 208 -0.138942 0.096154 
NM_001494.4 0.3793 0.2931 0.3697 0.2594 0.120 0.049 0.447 55.97 0.412 0.419 432 445 -0.332135 0.101124 
NM_006246.5 0.3815 0.2399 0.4146 0.2691 0.104 -0.015 0.397 55.14 0.379 0.401 451 467 -0.300643 0.107066 
NM_005004.4 0.2292 0.4097 0.2066 0.4202 0.087 0.038 0.401 46.07 0.653 0.572 167 186 -0.707527 0.139785 
NM_017832.4 0.3796 0.2628 0.3958 0.2424 0.111 0.040 0.441 61.00 0.384 0.429 177 181 -0.335359 0.071823 
NM_024881.5 0.0882 0.5868 0.0732 0.4252 0.060 0.031 0.389 37.17 0.860 0.629 393 410 0.369024 0.102439 
NM_004060.4 0.3839 0.1830 0.4061 0.3113 0.113 0.088 0.451 49.13 0.374 0.400 286 295 -0.126102 0.077966 
NM_017906.3 0.3841 0.2630 0.3887 0.2664 0.109 0.003 0.422 54.93 0.395 0.425 377 392 -0.385204 0.066327 
NM_012162.4 0.1362 0.4844 0.1018 0.4402 0.036 -0.086 0.277 41.60 0.794 0.670 519 539 -0.124861 0.050093 
NM_021942.6 0.4270 0.2360 0.3456 0.2772 0.114 0.033 0.428 51.01 0.388 0.427 1094 1133 -0.165225 0.094440 
NM_013236.4 0.3596 0.2835 0.2687 0.3742 0.099 0.029 0.416 55.07 0.496 0.463 464 475 -0.080000 0.056842 
NM_024069.4 0.0915 0.6268 0.1439 0.3902 0.077 -0.015 0.385 34.70 0.811 0.602 169 176 -0.607955 0.045455 
NM_032177.4 0.4270 0.2206 0.4026 0.2702 0.127 0.042 0.428 51.47 0.365 0.432 381 394 -0.919289 0.055838 
NM_002951.5 0.3186 0.3973 0.1908 0.3226 0.113 0.097 0.456 50.76 0.578 0.513 619 631 0.080983 0.087163 
NM_017443.5 0.1562 0.5000 0.2783 0.4364 0.109 0.050 0.441 54.06 0.671 0.528 143 147 -1.202041 0.040816 
NM_004712.5 0.1350 0.5293 0.1002 0.5082 0.050 -0.095 0.323 39.08 0.814 0.633 746 777 -0.697297 0.065637 
NM_012143.4 0.2321 0.4858 0.1713 0.4411 0.092 0.048 0.435 47.74 0.690 0.542 786 837 -0.639665 0.099164 
NM_000293.3 0.4023 0.2590 0.3513 0.2719 0.099 0.007 0.405 54.11 0.402 0.438 1061 1093 -0.294053 0.095151 
NM_002503.5 0.1848 0.5083 0.1388 0.3587 0.056 -0.068 0.305 45.25 0.727 0.660 348 356 -0.388202 0.042135 
NM_017426.4 0.4592 0.1837 0.3765 0.2356 0.111 0.041 0.425 48.39 0.327 0.428 496 507 -0.416962 0.069034 
NM_002586.5 0.2153 0.4602 0.1744 0.3792 0.068 -0.011 0.368 46.62 0.678 0.595 413 430 -0.616744 0.053488 
NM_002816.5 0.4087 0.2384 0.3683 0.2919 0.114 0.014 0.420 58.36 0.395 0.406 433 456 -0.384211 0.065789 
NM_004035.7 0.3475 0.3571 0.2292 0.3377 0.096 0.023 0.411 54.79 0.536 0.495 632 660 -0.276212 0.090909 
NM_003675.4 0.3786 0.2387 0.3694 0.3415 0.110 -0.009 0.399 52.58 0.426 0.422 333 342 -0.737135 0.067251 
NM_018362.4 0.3810 0.1837 0.4702 0.1950 0.093 0.048 0.415 53.49 0.301 0.447 193 197 -0.446700 0.040609 
NM_152551.4 0.4211 0.2024 0.3840 0.3432 0.112 -0.030 0.390 52.13 0.396 0.430 331 339 -1.256047 0.061947 
NM_024731.4 0.0848 0.6061 0.0646 0.5248 0.063 -0.036 0.369 32.97 0.880 0.632 593 616 -0.357630 0.102273 
NM_024805.3 0.2311 0.3826 0.2189 0.4198 0.063 -0.027 0.352 54.37 0.639 0.564 330 343 -0.648105 0.069971 
NM_005600.3 0.2774 0.3358 0.2656 0.3306 0.065 0.021 0.375 52.80 0.546 0.561 317 327 -0.060856 0.070336 
NM_003676.4 0.4045 0.2959 0.2913 0.3051 0.104 -0.035 0.392 59.11 0.442 0.427 301 323 0.037461 0.167183 
NM_018471.3 0.4876 0.1873 0.4407 0.2628 0.162 0.056 0.452 52.13 0.323 0.399 418 426 -1.056103 0.061033 
NM_015143.3 0.4323 0.2194 0.3643 0.2577 0.111 0.041 0.429 52.36 0.364 0.457 371 386 -0.405959 0.082902 
NM_016142.3 0.3333 0.3213 0.2705 0.3122 0.101 0.033 0.423 60.30 0.500 0.460 298 312 0.107692 0.092949 
NM_002435.3 0.2156 0.4461 0.1754 0.4262 0.080 0.019 0.402 48.29 0.684 0.556 408 423 -0.044208 0.075650 
NM_007104.5 0.2125 0.4625 0.1506 0.4904 0.106 0.098 0.462 46.37 0.719 0.516 210 217 -0.408295 0.064516 
NM_012228.4 0.2886 0.3154 0.2153 0.3972 0.058 -0.038 0.339 57.59 0.582 0.573 177 182 -0.450000 0.076923 
NM_014665.4 0.1679 0.4460 0.1071 0.4714 0.042 -0.102 0.278 39.01 0.766 0.637 479 493 0.093712 0.060852 
NM_003142.5 0.4179 0.1903 0.5559 0.2062 0.144 -0.017 0.411 48.10 0.280 0.368 397 408 -0.973284 0.073529 
NM_013366.4 0.1324 0.4984 0.0773 0.5413 0.052 -0.033 0.354 39.31 0.829 0.629 789 822 -0.315450 0.077859 
NM_018989.2 0.3859 0.2171 0.4157 0.2329 0.108 0.048 0.412 53.92 0.355 0.454 1032 1060 -0.909906 0.051887 
NM_002788.4 0.4523 0.2312 0.4492 0.1387 0.166 0.120 0.475 48.50 0.287 0.404 244 255 -0.278824 0.094118 
NM_013260.8 0.3125 0.4018 0.2429 0.3478 0.142 0.078 0.463 54.80 0.567 0.510 300 308 -0.862987 0.055195 
NM_020132.5 0.1458 0.4915 0.1321 0.4944 0.058 0.017 0.395 45.02 0.776 0.574 357 376 0.142287 0.140957 
NM_023933.3 0.1281 0.4187 0.0545 0.5381 0.024 -0.191 0.202 39.26 0.838 0.715 228 235 0.035319 0.059574 
NM_152699.5 0.4018 0.2807 0.3254 0.3114 0.127 0.074 0.448 52.19 0.441 0.436 728 755 -0.676292 0.087417 
NM_004879.5 0.3559 0.3310 0.2422 0.3030 0.086 0.026 0.400 57.97 0.502 0.470 325 340 0.294118 0.141176 
NM_017970.4 0.3279 0.3360 0.2352 0.3925 0.085 -0.025 0.374 52.94 0.559 0.502 1117 1164 -0.583677 0.091065 
NM_024086.4 0.3169 0.2887 0.3484 0.3157 0.082 -0.035 0.370 56.44 0.468 0.475 543 562 -0.486121 0.067616 
NM_052876.4 0.1114 0.5787 0.0711 0.4873 0.057 -0.075 0.338 34.02 0.852 0.648 506 527 -0.453890 0.064516 
NM_004708.4 0.2706 0.2235 0.4804 0.3061 0.074 -0.100 0.331 43.94 0.405 0.448 121 125 -0.901600 0.032000 
NM_000512.5 0.1535 0.5279 0.1286 0.4266 0.066 0.027 0.391 42.83 0.768 0.610 496 522 -0.250192 0.107280 
NM_001001410.3 0.1202 0.4845 0.0992 0.5020 0.040 -0.111 0.275 40.11 0.816 0.682 305 312 -0.454808 0.064103 
NM_001012759.3 0.1650 0.4782 0.1071 0.4724 0.060 -0.031 0.350 41.71 0.775 0.641 497 515 -0.233010 0.066019 
NM_014868.5 0.3403 0.3758 0.2250 0.3301 0.097 0.017 0.399 53.92 0.552 0.520 792 811 -0.650678 0.070284 
NM_138408.4 0.4150 0.2177 0.4140 0.3172 0.126 0.068 0.466 54.23 0.382 0.423 204 213 -0.615963 0.046948 
NM_030937.6 0.2201 0.3971 0.1756 0.4363 0.067 0.014 0.376 52.43 0.673 0.582 511 520 -0.766923 0.055769 
NM_012469.4 0.2361 0.3977 0.1737 0.4717 0.075 -0.033 0.364 47.27 0.674 0.570 895 941 -0.642508 0.065887 
NM_001746.4 0.4801 0.2248 0.3553 0.2843 0.146 0.037 0.436 48.39 0.369 0.448 564 592 -0.873986 0.086149 
NM_016067.4 0.4505 0.1892 0.3333 0.3000 0.120 0.103 0.467 50.12 0.372 0.427 137 142 -0.214085 0.070423 
NM_001080432.3 0.3714 0.3077 0.3054 0.3191 0.098 0.008 0.399 56.57 0.474 0.485 481 505 -0.542574 0.089109 
NM_000447.3 0.1588 0.5153 0.1062 0.4601 0.069 0.006 0.396 43.63 0.780 0.580 422 448 0.299330 0.113839 
NM_007269.4 0.4750 0.1909 0.4243 0.2341 0.119 -0.024 0.407 50.95 0.309 0.382 570 592 -0.436486 0.077703 
NM_015571.4 0.4574 0.1950 0.4772 0.1850 0.128 0.001 0.417 48.00 0.280 0.373 1091 1112 -0.717986 0.065647 
NM_138381.5 0.3518 0.2609 0.3471 0.2909 0.095 0.020 0.409 53.92 0.429 0.454 303 312 -0.028846 0.076923 
NM_001909.5 0.1026 0.5953 0.0629 0.4746 0.076 0.034 0.412 35.21 0.862 0.623 398 412 0.023058 0.089806 
NM_012336.4 0.2910 0.3983 0.2199 0.3896 0.100 0.030 0.415 52.31 0.601 0.531 446 456 -0.444518 0.076754 
NM_004642.4 0.1398 0.4731 0.1771 0.4066 0.068 0.043 0.387 50.50 0.730 0.606 111 115 -0.453044 0.052174 
NM_004475.3 0.2288 0.4216 0.1302 0.5106 0.076 -0.066 0.369 47.11 0.718 0.579 415 428 -0.148131 0.044393 
NM_000144.5 0.2428 0.4162 0.2470 0.2963 0.086 0.030 0.384 48.71 0.591 0.549 203 210 -0.465238 0.080952 
NM_004461.3 0.1568 0.5090 0.0882 0.5000 0.058 -0.025 0.361 39.40 0.802 0.619 485 508 -0.453740 0.088583 
NM_024578.3 0.1553 0.4612 0.1560 0.4579 0.045 -0.077 0.305 45.76 0.745 0.646 259 264 -0.966288 0.056818 
NM_012138.4 0.3325 0.3083 0.3005 0.3571 0.089 0.002 0.387 56.03 0.508 0.502 545 560 -0.911429 0.060714 
NM_003849.4 0.4078 0.2943 0.2762 0.2412 0.108 0.072 0.440 55.29 0.428 0.487 339 346 -0.022543 0.049133 
NM_001177.6 0.3022 0.2374 0.4786 0.2188 0.091 -0.055 0.371 46.24 0.359 0.409 170 181 -0.081216 0.099448 
NM_017916.3 0.1789 0.4312 0.1572 0.5047 0.056 -0.038 0.350 47.74 0.729 0.591 277 290 -0.442414 0.055172 
NM_015694.3 0.1440 0.5483 0.1368 0.4618 0.061 -0.012 0.380 40.90 0.779 0.617 810 831 -0.887365 0.049338 
NM_001569.4 0.1511 0.4788 0.1299 0.4301 0.053 -0.067 0.312 38.61 0.761 0.652 690 712 -0.280056 0.068820 
NM_024516.4 0.1784 0.4541 0.1651 0.4439 0.049 -0.097 0.302 42.05 0.722 0.654 248 254 -1.103543 0.031496 
NM_003365.3 0.2645 0.4005 0.1541 0.4086 0.069 -0.071 0.336 47.60 0.651 0.583 464 480 -0.141042 0.077083 
NM_016129.3 0.4067 0.2067 0.4000 0.2867 0.109 -0.006 0.398 52.63 0.367 0.423 392 406 -0.310591 0.073892 
NM_032164.4 0.2788 0.3654 0.2662 0.3971 0.077 0.028 0.404 50.08 0.579 0.532 549 561 -0.988770 0.060606 
NM_032476.4 0.2887 0.2784 0.3168 0.3656 0.101 0.088 0.438 61.00 0.504 0.488 121 125 -0.368800 0.056000 
NM_002567.4 0.2013 0.4631 0.1214 0.4672 0.066 -0.047 0.356 48.63 0.739 0.588 180 187 -0.652407 0.096257 
NM_018464.5 0.4353 0.2824 0.3733 0.2090 0.147 0.076 0.466 61.00 0.369 0.423 103 108 -0.397222 0.092593 
NM_001833.4 0.2405 0.4114 0.2800 0.3473 0.082 -0.013 0.371 60.16 0.586 0.578 210 218 -0.811009 0.059633 
NM_000386.4 0.3372 0.3343 0.2756 0.3857 0.102 -0.003 0.411 54.41 0.530 0.467 428 455 -0.382198 0.109890 
NM_015330.5 0.3451 0.2805 0.3568 0.2831 0.094 0.002 0.391 55.45 0.438 0.469 1081 1117 -0.813160 0.033124 
NM_144653.5 0.0616 0.6324 0.0486 0.4646 0.051 -0.102 0.306 32.59 0.907 0.684 571 587 -0.170698 0.064736 
NM_006858.4 0.1029 0.4571 0.1236 0.5673 0.055 -0.029 0.364 39.63 0.816 0.621 217 227 -0.005286 0.083700 
NM_001144989.2 0.4753 0.2392 0.3641 0.2729 0.110 0.027 0.425 42.81 0.374 0.435 845 855 -0.939883 0.087719 
NM_016145.4 0.1707 0.5000 0.0735 0.4923 0.083 0.104 0.446 38.78 0.793 0.563  92 106 -0.180189 0.103774 
NM_025128.5 0.1663 0.4179 0.1692 0.4414 0.045 -0.056 0.313 44.57 0.717 0.629 540 551 -0.471506 0.056261 
NM_001040431.3 0.2471 0.3294 0.1778 0.4471 0.065 0.025 0.369 53.81 0.641 0.613 103 106 -0.496226 0.066038 
NM_005746.3 0.4252 0.2283 0.4142 0.2367 0.127 0.017 0.426 49.70 0.347 0.395 481 491 -0.429328 0.105906 
NM_006837.3 0.3887 0.2794 0.3293 0.3026 0.115 0.028 0.422 54.73 0.438 0.444 315 334 -0.376347 0.098802 
NM_006122.4 0.1881 0.4974 0.1272 0.4303 0.071 0.017 0.390 44.21 0.741 0.592 1113 1150 -0.264435 0.104348 
NM_014425.5 0.3471 0.2893 0.3415 0.2754 0.096 0.016 0.388 53.24 0.446 0.490 1036 1065 -0.670329 0.050704 
NM_001013703.4 0.3289 0.3242 0.3007 0.3365 0.096 0.000 0.400 56.73 0.502 0.477 1611 1649 -0.441722 0.075804 
NM_002806.5 0.4470 0.1457 0.4000 0.2847 0.135 0.089 0.448 47.35 0.324 0.410 377 389 -0.436504 0.056555 
NM_014497.5 0.4691 0.1566 0.4540 0.2040 0.130 0.041 0.431 46.98 0.275 0.395 1929 1978 -0.805966 0.046512 
NM_016475.5 0.4038 0.2415 0.3911 0.1854 0.109 0.055 0.421 51.51 0.343 0.409 297 311 0.552090 0.141479 
NM_018438.6 0.1609 0.5783 0.1505 0.3846 0.085 0.031 0.413 43.67 0.754 0.587 276 293 -0.346075 0.133106 
NM_014473.4 0.3373 0.2549 0.3745 0.2909 0.100 0.035 0.415 61.00 0.422 0.444 306 313 -0.126837 0.070288 
NM_015388.4 0.2111 0.4637 0.1767 0.3577 0.067 -0.002 0.373 48.49 0.673 0.574 330 350 0.297429 0.091429 
NM_020150.5 0.3797 0.2975 0.3288 0.2537 0.088 -0.020 0.386 54.93 0.429 0.444 189 198 -0.079798 0.101010 
NM_001919.4 0.0891 0.4858 0.0894 0.5451 0.040 -0.081 0.313 39.62 0.849 0.657 291 302 0.035431 0.062914 
NM_006349.3 0.2439 0.4390 0.1130 0.4825 0.063 -0.023 0.362 45.35 0.717 0.608 152 154 -0.887662 0.071429 
NM_022338.4 0.2336 0.3885 0.2435 0.2573 0.084 0.020 0.393 53.21 0.572 0.572 428 449 -0.178619 0.031180 
NM_138572.3 0.2764 0.3821 0.1667 0.4083 0.075 -0.023 0.374 50.81 0.636 0.558 302 310 -0.632903 0.054839 
NM_002793.4 0.3399 0.2759 0.2905 0.3354 0.103 0.082 0.440 59.31 0.478 0.477 232 241 -0.117427 0.091286 
NM_003904.5 0.2600 0.3971 0.2493 0.3853 0.088 -0.008 0.396 53.12 0.597 0.534 444 459 -0.514161 0.054466 
NM_006351.4 0.1299 0.4834 0.1808 0.4970 0.063 -0.051 0.359 44.27 0.753 0.573 434 452 -0.558628 0.073009 
NM_016467.5 0.4242 0.2121 0.3670 0.2143 0.097 0.010 0.407 51.63 0.338 0.407 145 153 0.335294 0.137255 
NM_005981.5 0.3315 0.3989 0.2282 0.2687 0.118 0.096 0.455 50.25 0.535 0.483 200 210 0.724286 0.114286 
NM_015705.6 0.1310 0.5408 0.0892 0.5000 0.060 -0.040 0.354 37.95 0.821 0.618 717 749 -0.204940 0.084112 
NM_003143.3 0.3621 0.1552 0.4522 0.2897 0.075 -0.065 0.364 52.21 0.343 0.419 143 148 -0.561487 0.087838 
NM_003187.5 0.4332 0.1613 0.4020 0.2211 0.127 0.012 0.399 48.21 0.304 0.420 253 264 -0.554924 0.045455 
NM_000159.4 0.1690 0.4817 0.0965 0.4813 0.056 -0.039 0.347 42.76 0.778 0.611 418 438 -0.198630 0.066210 
NM_007033.5 0.2642 0.4088 0.2132 0.3821 0.113 0.109 0.470 55.80 0.612 0.497 183 196 0.081122 0.173469 
NM_002748.4 0.4909 0.2062 0.3643 0.2642 0.122 -0.002 0.408 49.68 0.343 0.405 696 721 -0.551456 0.087379 
NM_017813.5 0.3080 0.3806 0.2289 0.2996 0.095 0.027 0.404 52.42 0.552 0.532 344 359 -0.092479 0.064067 
NM_147156.4 0.2870 0.3920 0.2714 0.3268 0.091 0.047 0.433 55.31 0.554 0.484 379 413 -0.036078 0.142857 
NM_033112.4 0.2528 0.3090 0.2870 0.4340 0.063 -0.072 0.323 54.34 0.579 0.537 254 259 -1.113127 0.050193 
