Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_015958.3 285 275 0.433 0.378 0.459 0.533 0.365 0.400 0.161 0.323 0.277 0.168 0.175 0.193 0.305 0.312 0.323 0.365 0.189 0.207
NM_012117.3 191 182 0.417 0.412 0.419 0.482 0.330 0.440 0.157 0.199 0.267 0.120 0.178 0.136 0.361 0.471 0.293 0.361 0.152 0.304
NM_032928.4 108 102 0.590 0.775 0.505 0.556 0.426 0.787 0.194 0.324 0.102 0.194 0.213 0.407 0.250 0.250 0.111 0.361 0.213 0.380
NM_002706.6 479 459 0.435 0.316 0.491 0.551 0.409 0.344 0.169 0.242 0.370 0.154 0.200 0.148 0.280 0.349 0.286 0.397 0.209 0.196
NM_004398.4 875 849 0.426 0.396 0.440 0.534 0.329 0.414 0.142 0.254 0.279 0.199 0.181 0.170 0.325 0.417 0.307 0.335 0.149 0.243
NM_007234.5 186 181 0.565 0.707 0.496 0.661 0.317 0.715 0.118 0.312 0.172 0.296 0.194 0.280 0.220 0.371 0.113 0.366 0.124 0.435
NM_014394.3 345 319 0.471 0.395 0.506 0.507 0.467 0.441 0.188 0.348 0.299 0.177 0.267 0.188 0.304 0.186 0.261 0.330 0.200 0.252
NM_018998.4 566 545 0.650 0.892 0.535 0.622 0.431 0.896 0.166 0.284 0.055 0.299 0.230 0.511 0.212 0.284 0.049 0.323 0.201 0.385
NM_004832.3 241 229 0.488 0.581 0.445 0.494 0.369 0.602 0.199 0.286 0.216 0.199 0.195 0.266 0.307 0.344 0.183 0.295 0.174 0.336
NM_152726.3 434 412 0.425 0.359 0.455 0.512 0.371 0.392 0.187 0.297 0.295 0.187 0.182 0.159 0.302 0.332 0.313 0.325 0.189 0.233
NM_005384.3 462 447 0.444 0.427 0.453 0.498 0.390 0.446 0.195 0.238 0.275 0.197 0.253 0.208 0.307 0.372 0.279 0.301 0.136 0.238
NM_024585.4 198 195 0.636 0.831 0.541 0.657 0.419 0.833 0.131 0.298 0.086 0.354 0.247 0.444 0.212 0.283 0.081 0.303 0.172 0.389
NM_024038.4 176 171 0.659 0.749 0.616 0.670 0.551 0.756 0.108 0.136 0.119 0.222 0.261 0.295 0.222 0.312 0.125 0.449 0.290 0.460
NM_016139.4 151 146 0.623 0.562 0.651 0.689 0.603 0.576 0.106 0.172 0.245 0.318 0.377 0.265 0.205 0.225 0.179 0.371 0.225 0.311
NM_030818.4 396 383 0.620 0.817 0.525 0.583 0.452 0.823 0.129 0.189 0.088 0.270 0.245 0.442 0.288 0.359 0.088 0.313 0.207 0.381
NM_022899.5 624 596 0.472 0.445 0.485 0.553 0.394 0.470 0.178 0.264 0.288 0.252 0.204 0.194 0.269 0.341 0.242 0.301 0.191 0.276
NM_004247.4 972 942 0.518 0.614 0.473 0.573 0.356 0.626 0.148 0.307 0.256 0.220 0.210 0.322 0.279 0.337 0.118 0.353 0.146 0.303
NM_014174.3 225 214 0.480 0.519 0.462 0.511 0.387 0.542 0.169 0.231 0.222 0.227 0.218 0.267 0.320 0.382 0.236 0.284 0.169 0.276
NM_006554.5 263 251 0.425 0.343 0.463 0.551 0.350 0.373 0.202 0.289 0.342 0.228 0.217 0.144 0.247 0.361 0.285 0.323 0.133 0.228
NM_032869.4 583 561 0.401 0.321 0.439 0.511 0.346 0.346 0.201 0.288 0.358 0.208 0.194 0.161 0.288 0.365 0.295 0.304 0.153 0.185
NM_005669.5 189 179 0.510 0.665 0.438 0.481 0.365 0.683 0.217 0.333 0.190 0.169 0.201 0.381 0.302 0.302 0.127 0.312 0.164 0.302
NM_024664.4 311 301 0.557 0.581 0.546 0.627 0.450 0.595 0.186 0.302 0.235 0.248 0.309 0.254 0.186 0.248 0.170 0.379 0.141 0.341
NM_000398.7 301 287 0.598 0.801 0.503 0.601 0.382 0.811 0.136 0.326 0.113 0.319 0.206 0.462 0.262 0.292 0.076 0.282 0.176 0.349
NM_004582.4 331 315 0.412 0.305 0.462 0.520 0.378 0.338 0.227 0.314 0.393 0.178 0.172 0.124 0.254 0.308 0.269 0.341 0.205 0.215
NM_014388.7 756 736 0.469 0.520 0.444 0.532 0.341 0.533 0.181 0.280 0.246 0.229 0.190 0.275 0.287 0.378 0.221 0.303 0.151 0.258
NM_014390.4 910 889 0.542 0.606 0.511 0.607 0.404 0.615 0.134 0.264 0.213 0.237 0.224 0.312 0.259 0.332 0.171 0.369 0.180 0.303
NM_053023.5 570 560 0.527 0.502 0.540 0.604 0.468 0.511 0.130 0.172 0.244 0.249 0.249 0.223 0.267 0.360 0.246 0.354 0.219 0.288
NM_153339.3 303 297 0.670 0.825 0.595 0.680 0.502 0.828 0.145 0.267 0.092 0.327 0.281 0.455 0.175 0.231 0.079 0.353 0.221 0.373
NM_020772.3 695 678 0.449 0.394 0.476 0.519 0.420 0.409 0.150 0.187 0.341 0.246 0.262 0.186 0.331 0.393 0.250 0.273 0.158 0.223
NM_001183.6 470 445 0.598 0.746 0.530 0.594 0.440 0.760 0.179 0.321 0.157 0.283 0.274 0.411 0.228 0.238 0.083 0.311 0.166 0.349
NM_033083.7 268 262 0.521 0.496 0.533 0.556 0.500 0.507 0.119 0.175 0.269 0.280 0.280 0.272 0.325 0.325 0.224 0.276 0.220 0.235
NM_030782.5 538 510 0.550 0.769 0.448 0.519 0.349 0.781 0.214 0.349 0.143 0.225 0.201 0.401 0.268 0.301 0.076 0.294 0.149 0.379
NM_006347.4 177 170 0.480 0.494 0.474 0.525 0.401 0.514 0.153 0.322 0.305 0.164 0.175 0.249 0.322 0.277 0.181 0.362 0.226 0.266
NM_030780.5 315 303 0.443 0.396 0.466 0.508 0.403 0.419 0.229 0.311 0.273 0.187 0.213 0.210 0.263 0.286 0.308 0.321 0.190 0.210
NM_020187.3 354 336 0.515 0.551 0.499 0.523 0.449 0.573 0.203 0.218 0.232 0.237 0.232 0.266 0.274 0.333 0.195 0.285 0.218 0.308
NM_019116.3 309 293 0.567 0.642 0.533 0.612 0.430 0.660 0.113 0.223 0.155 0.197 0.275 0.301 0.275 0.346 0.184 0.414 0.155 0.359
NM_016474.5 467 449 0.466 0.414 0.491 0.574 0.388 0.437 0.128 0.195 0.242 0.227 0.214 0.180 0.298 0.418 0.321 0.347 0.173 0.257
NM_139321.3 1429 1368 0.500 0.520 0.491 0.492 0.467 0.540 0.230 0.235 0.295 0.199 0.227 0.290 0.279 0.297 0.165 0.293 0.240 0.250
NM_005885.4 910 864 0.458 0.398 0.486 0.573 0.373 0.429 0.210 0.373 0.329 0.253 0.204 0.176 0.218 0.255 0.243 0.320 0.168 0.253
NM_013286.5 890 875 0.652 0.752 0.603 0.663 0.536 0.756 0.125 0.178 0.137 0.313 0.260 0.419 0.212 0.287 0.107 0.349 0.276 0.337
NM_014630.3 1267 1243 0.572 0.644 0.538 0.577 0.489 0.651 0.160 0.208 0.193 0.285 0.283 0.356 0.263 0.303 0.155 0.292 0.206 0.295
NM_001349.4 501 485 0.424 0.344 0.463 0.553 0.355 0.365 0.162 0.293 0.337 0.214 0.196 0.162 0.285 0.351 0.297 0.339 0.160 0.204
NM_002913.5 1147 1111 0.414 0.367 0.437 0.471 0.385 0.387 0.159 0.214 0.288 0.162 0.227 0.169 0.371 0.400 0.325 0.309 0.159 0.218
NM_018946.4 359 343 0.533 0.650 0.478 0.574 0.359 0.666 0.156 0.292 0.195 0.228 0.201 0.292 0.270 0.348 0.139 0.345 0.159 0.373
NM_002114.4 2718 2670 0.458 0.389 0.492 0.525 0.449 0.400 0.176 0.220 0.302 0.255 0.295 0.191 0.299 0.331 0.298 0.270 0.154 0.209
NM_032314.4 327 311 0.502 0.518 0.494 0.587 0.376 0.541 0.183 0.291 0.275 0.239 0.162 0.226 0.229 0.333 0.183 0.349 0.214 0.315
NM_003216.4 303 295 0.605 0.759 0.531 0.611 0.439 0.766 0.129 0.218 0.112 0.248 0.297 0.370 0.261 0.343 0.122 0.363 0.142 0.396
NM_001114118.3 620 598 0.489 0.478 0.494 0.565 0.405 0.497 0.139 0.205 0.250 0.197 0.215 0.200 0.297 0.390 0.253 0.368 0.190 0.297
NM_018196.4 421 405 0.458 0.472 0.452 0.518 0.366 0.492 0.211 0.276 0.280 0.247 0.181 0.261 0.271 0.359 0.228 0.271 0.185 0.230
NM_013349.5 172 170 0.628 0.735 0.575 0.686 0.459 0.738 0.116 0.244 0.145 0.273 0.291 0.349 0.198 0.297 0.116 0.413 0.169 0.390
NM_012463.4 856 816 0.476 0.567 0.433 0.500 0.340 0.588 0.216 0.368 0.216 0.213 0.168 0.306 0.284 0.292 0.196 0.287 0.172 0.282
NM_006401.3 251 248 0.441 0.427 0.448 0.649 0.239 0.434 0.116 0.239 0.267 0.143 0.096 0.195 0.235 0.522 0.299 0.506 0.143 0.239
NM_003753.4 548 524 0.512 0.618 0.463 0.531 0.370 0.635 0.177 0.237 0.210 0.215 0.181 0.336 0.292 0.392 0.155 0.316 0.190 0.299
NM_005968.5 730 664 0.556 0.550 0.559 0.619 0.459 0.590 0.075 0.284 0.212 0.186 0.171 0.290 0.305 0.258 0.197 0.433 0.288 0.300
NM_000466.3 1283 1245 0.427 0.331 0.473 0.553 0.377 0.351 0.175 0.298 0.331 0.244 0.211 0.155 0.272 0.325 0.318 0.309 0.166 0.196
NM_012071.4 195 190 0.463 0.474 0.458 0.533 0.369 0.487 0.200 0.277 0.251 0.246 0.226 0.226 0.267 0.354 0.262 0.287 0.144 0.262
NM_020940.4 765 743 0.425 0.358 0.457 0.542 0.357 0.376 0.209 0.312 0.324 0.238 0.227 0.171 0.248 0.331 0.299 0.305 0.129 0.205
NM_006085.6 308 298 0.453 0.372 0.492 0.568 0.399 0.393 0.153 0.286 0.341 0.179 0.231 0.169 0.279 0.315 0.266 0.390 0.169 0.224
NM_004280.5 174 171 0.421 0.409 0.427 0.517 0.328 0.420 0.184 0.287 0.310 0.241 0.184 0.184 0.299 0.385 0.270 0.276 0.144 0.236
NM_005347.5 654 641 0.477 0.485 0.473 0.581 0.355 0.495 0.106 0.274 0.301 0.187 0.222 0.240 0.313 0.372 0.203 0.394 0.133 0.255
NM_005180.9 326 315 0.410 0.343 0.442 0.436 0.429 0.365 0.187 0.236 0.356 0.181 0.236 0.190 0.377 0.334 0.279 0.255 0.193 0.175
NM_145212.4 161 154 0.420 0.351 0.453 0.509 0.373 0.379 0.149 0.273 0.267 0.248 0.211 0.130 0.342 0.354 0.354 0.261 0.161 0.248
NM_022786.3 271 260 0.440 0.512 0.407 0.443 0.347 0.531 0.251 0.336 0.269 0.177 0.181 0.288 0.306 0.317 0.199 0.266 0.166 0.244
NM_005866.4 223 208 0.650 0.812 0.577 0.655 0.471 0.825 0.193 0.309 0.112 0.287 0.247 0.417 0.152 0.220 0.063 0.368 0.224 0.408
NM_003595.5 377 359 0.630 0.841 0.532 0.634 0.408 0.849 0.138 0.313 0.095 0.292 0.218 0.440 0.228 0.279 0.056 0.342 0.191 0.408
NM_012268.4 490 465 0.616 0.778 0.540 0.616 0.441 0.790 0.151 0.273 0.139 0.300 0.253 0.437 0.233 0.286 0.071 0.316 0.188 0.353
NM_004656.4 729 715 0.585 0.706 0.526 0.612 0.431 0.712 0.123 0.243 0.171 0.273 0.239 0.350 0.265 0.326 0.117 0.339 0.192 0.362
NM_003756.3 352 337 0.463 0.475 0.458 0.562 0.330 0.497 0.156 0.273 0.253 0.256 0.193 0.256 0.281 0.398 0.250 0.307 0.136 0.241
NM_017840.4 251 235 0.515 0.489 0.527 0.578 0.446 0.522 0.139 0.287 0.231 0.251 0.223 0.259 0.283 0.267 0.247 0.327 0.223 0.263
NM_003089.6 437 426 0.641 0.683 0.620 0.716 0.515 0.691 0.082 0.126 0.178 0.330 0.172 0.316 0.201 0.359 0.130 0.387 0.343 0.375
NM_005837.3 140 138 0.605 0.754 0.532 0.621 0.436 0.757 0.100 0.264 0.136 0.286 0.243 0.407 0.279 0.300 0.107 0.336 0.193 0.350
NM_014602.3 1358 1309 0.434 0.363 0.468 0.530 0.386 0.386 0.175 0.292 0.358 0.233 0.223 0.185 0.295 0.322 0.256 0.297 0.163 0.201
NM_018031.6 1121 1072 0.585 0.608 0.574 0.653 0.476 0.625 0.159 0.289 0.247 0.279 0.219 0.315 0.188 0.235 0.128 0.374 0.257 0.310
NM_006827.6 219 212 0.499 0.580 0.461 0.543 0.361 0.594 0.201 0.329 0.224 0.228 0.196 0.320 0.256 0.311 0.183 0.315 0.164 0.274
NM_145059.3 1084 1045 0.649 0.750 0.602 0.713 0.476 0.759 0.131 0.284 0.153 0.327 0.235 0.362 0.156 0.240 0.088 0.386 0.241 0.398
NM_006999.6 792 764 0.597 0.685 0.556 0.566 0.530 0.696 0.172 0.226 0.163 0.258 0.307 0.367 0.263 0.244 0.141 0.308 0.223 0.328
NM_000925.4 359 340 0.478 0.409 0.510 0.577 0.418 0.440 0.153 0.306 0.315 0.184 0.245 0.178 0.270 0.276 0.245 0.393 0.173 0.262
NM_032907.5 380 368 0.575 0.611 0.558 0.624 0.479 0.624 0.150 0.258 0.250 0.313 0.305 0.334 0.226 0.263 0.126 0.311 0.174 0.289
NM_174983.5 480 457 0.670 0.899 0.564 0.625 0.481 0.904 0.188 0.340 0.058 0.298 0.273 0.510 0.188 0.179 0.037 0.327 0.208 0.394
NM_032311.5 421 409 0.544 0.606 0.514 0.587 0.428 0.618 0.112 0.261 0.219 0.276 0.278 0.311 0.302 0.311 0.164 0.311 0.150 0.306
NM_006788.4 655 636 0.473 0.513 0.454 0.565 0.327 0.527 0.118 0.240 0.231 0.232 0.182 0.192 0.318 0.434 0.243 0.333 0.145 0.334
NM_018266.3 488 468 0.463 0.470 0.460 0.506 0.391 0.492 0.254 0.348 0.309 0.262 0.209 0.281 0.240 0.260 0.199 0.244 0.182 0.211
NM_018714.3 980 944 0.543 0.617 0.508 0.585 0.412 0.631 0.159 0.286 0.192 0.294 0.242 0.321 0.256 0.302 0.178 0.291 0.170 0.309
NM_007254.4 521 505 0.635 0.786 0.563 0.630 0.484 0.793 0.154 0.261 0.104 0.269 0.276 0.392 0.217 0.255 0.104 0.361 0.207 0.401
NM_052875.5 336 328 0.544 0.774 0.432 0.542 0.310 0.780 0.155 0.301 0.122 0.226 0.152 0.390 0.304 0.390 0.098 0.315 0.158 0.390
NM_014641.3 2089 2062 0.547 0.511 0.565 0.608 0.516 0.517 0.116 0.190 0.240 0.266 0.354 0.253 0.275 0.294 0.243 0.343 0.162 0.264
NM_024047.5 350 333 0.470 0.423 0.491 0.534 0.423 0.451 0.169 0.226 0.309 0.180 0.214 0.197 0.297 0.351 0.240 0.354 0.209 0.254
NM_014285.7 293 280 0.505 0.550 0.484 0.560 0.386 0.570 0.150 0.321 0.208 0.212 0.195 0.232 0.290 0.294 0.222 0.348 0.191 0.338
NM_005803.4 427 413 0.572 0.685 0.518 0.639 0.382 0.696 0.098 0.269 0.152 0.234 0.234 0.281 0.262 0.349 0.152 0.405 0.148 0.415
NM_004414.7 252 245 0.583 0.702 0.526 0.607 0.433 0.710 0.147 0.246 0.135 0.234 0.266 0.337 0.246 0.321 0.155 0.373 0.167 0.373
NM_033453.4 194 190 0.584 0.711 0.523 0.629 0.407 0.716 0.180 0.278 0.165 0.263 0.216 0.299 0.191 0.314 0.119 0.366 0.191 0.418
NM_016486.4 247 235 0.425 0.340 0.464 0.449 0.453 0.372 0.247 0.352 0.300 0.243 0.291 0.215 0.304 0.194 0.328 0.206 0.162 0.158
NM_014774.3 495 480 0.455 0.465 0.451 0.517 0.368 0.481 0.154 0.271 0.255 0.208 0.210 0.238 0.329 0.362 0.265 0.309 0.158 0.242
NM_032936.4 133 121 0.424 0.438 0.417 0.451 0.331 0.489 0.271 0.466 0.263 0.218 0.188 0.248 0.278 0.203 0.248 0.233 0.143 0.241
NM_001099415.3 987 978 0.598 0.609 0.593 0.519 0.663 0.613 0.180 0.173 0.207 0.238 0.472 0.386 0.301 0.164 0.180 0.281 0.190 0.227
NM_003439.4 563 551 0.519 0.541 0.508 0.563 0.442 0.551 0.155 0.194 0.222 0.259 0.226 0.270 0.282 0.364 0.227 0.304 0.217 0.281
NM_004691.5 351 343 0.556 0.770 0.452 0.575 0.316 0.775 0.179 0.325 0.151 0.251 0.185 0.442 0.245 0.359 0.074 0.325 0.131 0.333
NM_031925.3 343 325 0.574 0.843 0.450 0.539 0.332 0.851 0.219 0.341 0.102 0.327 0.157 0.464 0.242 0.327 0.047 0.213 0.175 0.388
NM_022464.5 461 448 0.575 0.734 0.498 0.644 0.338 0.742 0.113 0.304 0.150 0.304 0.195 0.308 0.243 0.358 0.108 0.341 0.143 0.434
NM_005610.3 425 406 0.448 0.374 0.482 0.555 0.386 0.402 0.179 0.245 0.351 0.207 0.226 0.202 0.266 0.369 0.247 0.348 0.160 0.200
NM_006026.4 213 210 0.670 0.919 0.548 0.587 0.502 0.920 0.085 0.141 0.042 0.207 0.310 0.413 0.329 0.357 0.038 0.380 0.192 0.507
NM_005231.4 550 537 0.557 0.663 0.506 0.609 0.391 0.671 0.156 0.165 0.184 0.182 0.207 0.315 0.235 0.444 0.145 0.427 0.184 0.356
NM_004725.4 328 315 0.483 0.498 0.475 0.515 0.415 0.518 0.204 0.247 0.274 0.220 0.238 0.280 0.280 0.338 0.207 0.296 0.177 0.238
NM_001156.5 466 449 0.495 0.370 0.554 0.592 0.500 0.393 0.174 0.221 0.339 0.255 0.275 0.189 0.234 0.279 0.268 0.337 0.225 0.204
NM_005662.7 283 274 0.441 0.427 0.447 0.449 0.428 0.445 0.212 0.244 0.336 0.124 0.233 0.226 0.339 0.329 0.219 0.325 0.194 0.219
NM_024678.6 477 465 0.449 0.409 0.469 0.556 0.369 0.423 0.201 0.319 0.325 0.241 0.193 0.210 0.243 0.312 0.252 0.314 0.176 0.214
NM_032141.4 558 546 0.421 0.385 0.439 0.518 0.348 0.398 0.115 0.138 0.235 0.172 0.161 0.143 0.367 0.514 0.367 0.346 0.186 0.254
NM_005828.5 342 322 0.534 0.621 0.494 0.550 0.409 0.643 0.178 0.272 0.216 0.225 0.213 0.357 0.272 0.319 0.140 0.325 0.196 0.287
NM_032796.4 352 341 0.477 0.475 0.478 0.622 0.318 0.491 0.134 0.247 0.222 0.224 0.213 0.190 0.244 0.435 0.287 0.398 0.105 0.301
NM_018120.6 282 269 0.441 0.349 0.484 0.535 0.408 0.379 0.177 0.284 0.319 0.202 0.248 0.167 0.287 0.309 0.301 0.333 0.160 0.213
NM_018146.4 420 401 0.556 0.601 0.536 0.619 0.431 0.619 0.136 0.271 0.214 0.252 0.214 0.250 0.245 0.298 0.167 0.367 0.217 0.369
NM_002874.5 409 400 0.467 0.330 0.533 0.584 0.472 0.345 0.125 0.218 0.325 0.222 0.352 0.137 0.291 0.311 0.330 0.362 0.120 0.208
NM_004109.5 184 179 0.547 0.514 0.563 0.609 0.505 0.527 0.147 0.245 0.266 0.196 0.255 0.272 0.245 0.250 0.207 0.413 0.250 0.255
NM_002669.4 514 492 0.435 0.311 0.493 0.516 0.449 0.340 0.171 0.235 0.356 0.196 0.265 0.134 0.313 0.315 0.304 0.319 0.185 0.206
NM_024407.5 213 200 0.662 0.835 0.583 0.634 0.507 0.845 0.141 0.277 0.085 0.286 0.244 0.488 0.225 0.216 0.070 0.347 0.263 0.357
NM_020673.3 194 187 0.440 0.380 0.468 0.510 0.407 0.402 0.160 0.284 0.278 0.186 0.222 0.201 0.330 0.309 0.320 0.325 0.186 0.201
NM_031420.4 267 257 0.557 0.615 0.529 0.633 0.408 0.629 0.120 0.277 0.184 0.285 0.206 0.240 0.247 0.315 0.187 0.348 0.202 0.390
NM_006345.4 568 548 0.418 0.307 0.471 0.514 0.410 0.331 0.206 0.299 0.292 0.192 0.218 0.164 0.280 0.290 0.377 0.322 0.192 0.167
NM_003718.5 1512 1485 0.522 0.479 0.543 0.570 0.507 0.489 0.151 0.187 0.258 0.269 0.276 0.236 0.279 0.306 0.253 0.302 0.231 0.253
NM_006585.4 548 527 0.417 0.290 0.476 0.564 0.369 0.318 0.141 0.303 0.367 0.162 0.228 0.151 0.296 0.328 0.316 0.401 0.141 0.166
NM_003592.3 776 752 0.432 0.472 0.412 0.492 0.314 0.488 0.202 0.284 0.251 0.198 0.173 0.226 0.305 0.402 0.260 0.294 0.142 0.263
NM_018297.4 654 633 0.434 0.370 0.465 0.502 0.411 0.390 0.217 0.252 0.321 0.190 0.211 0.176 0.281 0.336 0.289 0.312 0.200 0.214
NM_033549.5 630 606 0.631 0.749 0.576 0.703 0.432 0.759 0.129 0.225 0.127 0.292 0.197 0.337 0.168 0.343 0.114 0.411 0.235 0.422
NM_005539.5 412 396 0.532 0.717 0.445 0.529 0.340 0.728 0.221 0.286 0.153 0.206 0.194 0.383 0.250 0.374 0.119 0.323 0.146 0.345
NM_025233.7 564 552 0.586 0.694 0.534 0.649 0.410 0.700 0.128 0.310 0.188 0.314 0.229 0.346 0.223 0.280 0.112 0.335 0.181 0.355
NM_022163.4 279 267 0.530 0.558 0.518 0.609 0.405 0.577 0.165 0.272 0.179 0.272 0.215 0.229 0.226 0.323 0.244 0.337 0.190 0.348
NM_002917.2 331 322 0.668 0.832 0.589 0.653 0.514 0.837 0.136 0.260 0.124 0.353 0.272 0.462 0.211 0.227 0.039 0.299 0.242 0.375
NM_007236.5 195 190 0.494 0.568 0.458 0.569 0.333 0.579 0.133 0.303 0.226 0.236 0.144 0.308 0.297 0.364 0.195 0.333 0.190 0.272
NM_002794.5 201 195 0.501 0.559 0.473 0.577 0.353 0.572 0.159 0.303 0.259 0.259 0.199 0.333 0.264 0.343 0.169 0.318 0.154 0.239
NM_004663.5 216 210 0.421 0.338 0.461 0.523 0.384 0.356 0.148 0.273 0.352 0.185 0.213 0.181 0.329 0.343 0.292 0.338 0.171 0.176
NM_019088.4 531 516 0.547 0.647 0.500 0.597 0.388 0.657 0.124 0.177 0.215 0.188 0.198 0.337 0.279 0.435 0.128 0.409 0.190 0.320
NM_005626.5 494 490 0.543 0.586 0.522 0.455 0.585 0.589 0.152 0.093 0.219 0.202 0.170 0.302 0.393 0.322 0.192 0.253 0.415 0.287
NM_032194.3 306 295 0.376 0.353 0.387 0.431 0.320 0.376 0.163 0.291 0.291 0.186 0.176 0.131 0.405 0.389 0.333 0.245 0.144 0.245
NM_024079.5 526 502 0.424 0.416 0.428 0.458 0.371 0.443 0.297 0.401 0.325 0.230 0.228 0.236 0.245 0.228 0.232 0.228 0.143 0.207
NM_002184.4 918 884 0.403 0.311 0.447 0.467 0.406 0.337 0.216 0.254 0.345 0.178 0.254 0.171 0.317 0.340 0.318 0.290 0.153 0.166
NM_145012.6 341 333 0.502 0.598 0.457 0.510 0.390 0.607 0.185 0.264 0.226 0.249 0.220 0.328 0.305 0.346 0.167 0.261 0.170 0.279
NM_019613.4 344 336 0.482 0.536 0.455 0.512 0.387 0.547 0.201 0.291 0.230 0.209 0.209 0.328 0.288 0.323 0.224 0.302 0.177 0.218
NM_016492.5 186 182 0.590 0.665 0.553 0.694 0.403 0.672 0.124 0.290 0.215 0.344 0.237 0.339 0.183 0.306 0.113 0.349 0.167 0.333
NM_016485.5 307 299 0.444 0.355 0.487 0.541 0.420 0.371 0.156 0.221 0.349 0.225 0.287 0.166 0.303 0.358 0.280 0.316 0.134 0.205
NM_002028.4 437 421 0.550 0.618 0.518 0.593 0.426 0.632 0.204 0.270 0.192 0.275 0.220 0.332 0.204 0.304 0.176 0.318 0.206 0.300
NM_018332.5 478 459 0.514 0.630 0.459 0.550 0.347 0.644 0.130 0.293 0.190 0.218 0.201 0.320 0.320 0.360 0.165 0.333 0.146 0.324
NM_002504.6 1120 1096 0.485 0.445 0.504 0.504 0.494 0.457 0.205 0.177 0.308 0.235 0.228 0.230 0.290 0.329 0.235 0.270 0.266 0.227
NM_014773.5 515 501 0.587 0.611 0.576 0.604 0.536 0.621 0.184 0.212 0.206 0.307 0.297 0.353 0.212 0.252 0.173 0.297 0.239 0.268
NM_004809.5 398 380 0.631 0.774 0.565 0.658 0.452 0.784 0.128 0.332 0.123 0.302 0.239 0.367 0.214 0.216 0.093 0.357 0.214 0.417
NM_016353.5 367 346 0.447 0.431 0.454 0.455 0.422 0.463 0.272 0.294 0.313 0.215 0.226 0.248 0.272 0.283 0.223 0.240 0.196 0.215
NM_017867.3 346 337 0.395 0.323 0.429 0.520 0.324 0.341 0.173 0.275 0.379 0.179 0.173 0.142 0.306 0.402 0.280 0.341 0.150 0.199
NM_015934.5 529 512 0.397 0.314 0.436 0.510 0.344 0.336 0.149 0.265 0.297 0.153 0.206 0.129 0.340 0.391 0.367 0.357 0.138 0.208
NM_021141.4 732 711 0.426 0.412 0.432 0.519 0.329 0.429 0.175 0.306 0.309 0.193 0.189 0.197 0.306 0.365 0.262 0.327 0.141 0.232
NM_006442.4 205 199 0.615 0.784 0.534 0.610 0.444 0.790 0.132 0.185 0.098 0.259 0.298 0.346 0.259 0.371 0.112 0.351 0.146 0.444
NM_015045.4 1190 1160 0.413 0.331 0.452 0.505 0.385 0.348 0.167 0.239 0.348 0.177 0.210 0.155 0.328 0.376 0.304 0.328 0.175 0.192
NM_003171.5 786 761 0.458 0.417 0.478 0.534 0.405 0.435 0.183 0.289 0.321 0.228 0.230 0.206 0.282 0.307 0.244 0.307 0.174 0.229
NM_194326.4 136 135 0.632 0.807 0.546 0.618 0.471 0.809 0.110 0.191 0.088 0.301 0.257 0.316 0.272 0.338 0.103 0.316 0.213 0.493
NM_005749.4 345 334 0.458 0.440 0.466 0.525 0.391 0.458 0.186 0.255 0.345 0.261 0.241 0.226 0.290 0.354 0.197 0.264 0.151 0.232
NM_002708.4 330 321 0.572 0.776 0.474 0.570 0.364 0.782 0.188 0.294 0.136 0.270 0.161 0.448 0.242 0.342 0.082 0.300 0.203 0.333
NM_005716.4 333 324 0.654 0.821 0.573 0.691 0.444 0.826 0.090 0.279 0.105 0.282 0.210 0.426 0.219 0.276 0.069 0.408 0.234 0.399
NM_001033.5 792 757 0.431 0.419 0.437 0.486 0.364 0.444 0.183 0.275 0.338 0.186 0.205 0.212 0.331 0.361 0.217 0.301 0.159 0.232
NM_002109.6 509 497 0.533 0.622 0.490 0.631 0.338 0.631 0.126 0.314 0.187 0.253 0.155 0.269 0.244 0.348 0.183 0.377 0.183 0.361
NM_001031725.6 619 605 0.419 0.357 0.450 0.540 0.347 0.372 0.142 0.305 0.317 0.231 0.194 0.166 0.318 0.347 0.312 0.309 0.153 0.205
NM_032630.3 212 203 0.486 0.581 0.441 0.509 0.349 0.599 0.146 0.264 0.208 0.226 0.203 0.255 0.344 0.387 0.193 0.283 0.146 0.344
NM_001416.4 406 386 0.504 0.596 0.462 0.539 0.357 0.616 0.145 0.318 0.232 0.207 0.195 0.333 0.315 0.325 0.153 0.333 0.163 0.283
NM_031905.5 343 336 0.470 0.464 0.473 0.557 0.379 0.475 0.172 0.306 0.292 0.233 0.213 0.213 0.271 0.315 0.233 0.324 0.166 0.262
NM_022453.3 459 448 0.572 0.571 0.573 0.667 0.468 0.582 0.139 0.190 0.207 0.346 0.277 0.279 0.194 0.342 0.211 0.320 0.192 0.303
NM_014613.3 445 432 0.490 0.507 0.482 0.587 0.362 0.521 0.169 0.272 0.252 0.294 0.198 0.229 0.245 0.366 0.227 0.292 0.164 0.292
NM_203298.3 118 112 0.551 0.634 0.512 0.542 0.458 0.653 0.144 0.246 0.195 0.271 0.212 0.237 0.314 0.297 0.153 0.271 0.246 0.415
NM_016019.5 392 383 0.469 0.402 0.502 0.546 0.446 0.416 0.153 0.173 0.247 0.217 0.171 0.186 0.301 0.380 0.337 0.329 0.276 0.230
